ride_type,distance_km,time_of_day,day_type,demand_level,traffic_condition,weather_condition,pickup_zone,base_fare,surge_multiplier,final_fare,ride_timestamp
Taxi,34.47,Afternoon,Weekday,Medium,Moderate,Clear,Commercial,463.64,1.0,455.43,2025-10-30 11:09:41.566847
Taxi,17.58,Afternoon,Weekend,Low,Heavy,Rainy,Metro Station,260.96,1.23,320.98,2025-10-21 02:35:41.567014
Taxi,10.98,Night,Weekday,Medium,Light,Clear,Residential,181.76,1.15,205.13,2025-12-11 17:14:41.567182
Taxi,5.77,Night,Weekend,Low,Light,Rainy,Metro Station,119.24,1.28,146.62,2025-11-03 08:33:41.567356
Taxi,16.94,Afternoon,Weekday,Medium,Light,Rainy,Metro Station,253.28,1.08,265.84,2025-09-03 02:41:41.567533
Bike,24.86,Early Morning,Weekday,Low,Moderate,Cloudy,Metro Station,169.16,1.0,167.58,2025-12-20 22:47:41.567717
Taxi,47.76,Night,Weekday,High,Heavy,Storm,IT Park,623.12,1.6,973.46,2026-02-02 18:00:41.567893
Taxi,38.09,Evening,Weekday,Medium,Moderate,Clear,IT Park,507.08,1.1,568.98,2026-01-23 12:07:41.568060
Taxi,23.46,Evening,Weekday,Low,Light,Clear,Airport,331.52,1.2,380.83,2026-01-29 22:55:41.568226
Bike,18.63,Morning,Weekday,Medium,Heavy,Clear,Metro Station,131.78,1.1,152.08,2025-11-12 17:17:41.568401
Taxi,46.65,Afternoon,Weekday,Low,Light,Clear,Residential,609.8,1.0,624.73,2025-12-02 20:30:41.568611
Taxi,12.61,Evening,Weekday,Medium,Light,Cloudy,Residential,201.32,1.1,226.41,2025-08-14 17:09:41.568801
Bike,6.89,Morning,Weekday,Medium,Light,Clear,IT Park,61.34,1.0,60.8,2025-12-01 16:01:41.568979
Taxi,14.74,Evening,Weekend,Very High,Light,Cloudy,Airport,226.88,1.6,352.62,2025-10-10 19:23:41.569155
Taxi,33.06,Night,Weekday,High,Moderate,Clear,IT Park,446.72,1.35,621.64,2025-12-06 20:07:41.569328
Taxi,38.36,Evening,Weekend,Low,Heavy,Clear,IT Park,510.32,1.25,651.86,2025-08-19 01:03:41.569497
Bike,27.37,Evening,Weekday,Medium,Light,Clear,Airport,184.22,1.2,220.87,2025-12-25 09:01:41.569667
Taxi,46.36,Night,Weekend,Very High,Heavy,Clear,Commercial,606.32,1.65,971.87,2026-01-11 13:41:41.569854
Bike,7.92,Night,Weekend,Medium,Moderate,Cloudy,IT Park,67.52,1.2,82.77,2025-12-14 03:57:41.570052
Bike,31.33,Afternoon,Weekday,Medium,Light,Clear,Commercial,207.98,1.0,200.78,2026-01-20 10:30:41.570230
Taxi,11.98,Evening,Weekday,Low,Light,Rainy,Residential,193.76,1.18,225.76,2025-08-27 11:36:41.570399
Taxi,23.15,Early Morning,Weekday,Medium,Heavy,Clear,Commercial,327.8,1.1,360.69,2025-09-05 11:20:41.570568
Taxi,2.65,Night,Weekday,Medium,Light,Clear,Airport,81.8,1.25,102.16,2026-01-06 05:37:41.570736
Taxi,23.34,Evening,Weekday,Medium,Light,Cloudy,Commercial,330.08,1.1,349.09,2025-12-23 08:13:41.570908
Taxi,23.59,Morning,Weekend,Medium,Moderate,Rainy,Metro Station,333.08,1.13,371.04,2025-09-25 14:20:41.571099
Bike,8.96,Night,Weekend,High,Light,Storm,Residential,73.76,1.55,114.97,2025-12-27 16:24:41.571277
Bike,32.76,Evening,Weekend,Low,Light,Clear,Residential,216.56,1.15,254.77,2026-01-19 02:01:41.571445
Bike,1.17,Afternoon,Weekend,Medium,Moderate,Clear,IT Park,27.02,1.05,27.09,2025-11-18 01:20:41.571611
Taxi,37.52,Early Morning,Weekend,Very High,Moderate,Cloudy,IT Park,500.24,1.4,709.36,2025-12-24 02:08:41.571780
Bike,35.99,Morning,Weekday,Medium,Light,Clear,Airport,235.94,1.1,269.17,2025-10-22 22:41:41.571951
Bike,10.35,Early Morning,Weekday,Medium,Moderate,Clear,IT Park,82.1,1.0,79.16,2025-09-05 09:10:41.572151
Bike,23.74,Early Morning,Weekday,Medium,Heavy,Cloudy,Airport,162.44,1.2,187.93,2025-12-21 22:01:41.572320
Taxi,49.4,Early Morning,Weekend,High,Heavy,Cloudy,Residential,642.8,1.35,910.88,2025-10-02 14:23:41.572487
Bike,48.73,Night,Weekday,Very High,Light,Clear,IT Park,312.38,1.5,445.4,2025-09-30 12:06:41.572653
Taxi,49.57,Early Morning,Weekday,High,Moderate,Cloudy,Metro Station,644.84,1.2,756.78,2025-08-18 04:40:41.572822
Taxi,15.01,Afternoon,Weekend,Medium,Light,Cloudy,Residential,230.12,1.05,231.11,2025-09-18 23:32:41.572993
Taxi,28.16,Night,Weekend,High,Heavy,Clear,Commercial,387.92,1.5,564.56,2026-01-09 01:00:41.573188
Bike,22.62,Early Morning,Weekday,Low,Moderate,Cloudy,IT Park,155.72,1.0,155.77,2025-11-30 08:35:41.573359
Bike,1.95,Evening,Weekday,Low,Moderate,Clear,IT Park,31.7,1.1,34.62,2025-10-03 01:41:41.573531
Taxi,14.26,Night,Weekday,High,Heavy,Cloudy,Metro Station,221.12,1.45,316.24,2025-09-18 15:12:41.573700
Taxi,37.44,Morning,Weekend,Medium,Light,Cloudy,Metro Station,499.28,1.05,518.63,2026-01-20 22:57:41.573866
Taxi,29.13,Night,Weekday,Medium,Light,Clear,Commercial,399.56,1.15,450.55,2025-10-26 04:03:41.574054
Taxi,17.07,Evening,Weekday,Low,Light,Clear,Airport,254.84,1.2,319.65,2025-12-17 01:19:41.574257
Taxi,16.55,Night,Weekday,Very High,Light,Rainy,IT Park,248.6,1.58,380.34,2025-12-08 23:54:41.574428
Taxi,6.66,Afternoon,Weekday,High,Moderate,Cloudy,Residential,129.92,1.2,151.06,2025-12-06 11:05:41.574597
Bike,48.18,Morning,Weekend,High,Light,Storm,Metro Station,309.08,1.4,416.79,2025-10-26 05:06:41.574773
Taxi,31.13,Evening,Weekday,High,Moderate,Clear,IT Park,423.56,1.3,527.33,2025-09-29 23:15:41.574945
Taxi,33.99,Afternoon,Weekend,High,Light,Cloudy,Residential,457.88,1.25,559.83,2025-12-03 14:33:41.575114
Taxi,18.47,Afternoon,Weekday,High,Light,Cloudy,Commercial,271.64,1.2,338.51,2026-01-18 02:04:41.575308
Bike,32.85,Afternoon,Weekday,High,Moderate,Rainy,Residential,217.1,1.28,288.47,2025-11-16 00:30:41.575479
Bike,40.74,Morning,Weekday,Medium,Moderate,Clear,Airport,264.44,1.1,287.61,2025-10-15 02:42:41.575646
Bike,27.09,Morning,Weekday,Medium,Light,Clear,Commercial,182.54,1.0,191.18,2025-12-24 23:19:41.575818
Taxi,13.44,Early Morning,Weekend,Very High,Light,Cloudy,Airport,211.28,1.5,306.95,2025-10-07 02:26:41.576012
Taxi,4.38,Morning,Weekday,Low,Moderate,Cloudy,Commercial,102.56,1.0,98.19,2025-08-25 00:29:41.576185
Taxi,28.65,Afternoon,Weekday,Low,Light,Cloudy,Commercial,393.8,1.0,402.85,2025-08-23 16:34:41.576379
Bike,38.37,Morning,Weekday,Low,Heavy,Clear,Residential,250.22,1.1,285.77,2025-09-22 21:33:41.576550
Bike,12.6,Early Morning,Weekday,Low,Light,Clear,Residential,95.6,1.0,100.11,2025-09-25 21:58:41.576716
Bike,26.83,Evening,Weekday,Medium,Moderate,Cloudy,Airport,180.98,1.2,219.91,2025-10-04 10:28:41.576892
Bike,38.13,Early Morning,Weekday,Medium,Heavy,Clear,Metro Station,248.78,1.1,264.25,2025-09-03 10:09:41.577101
Bike,9.7,Early Morning,Weekday,Low,Moderate,Rainy,Commercial,78.2,1.08,82.43,2025-12-11 01:48:41.577275
Taxi,7.54,Afternoon,Weekday,Low,Moderate,Clear,Commercial,140.48,1.0,135.45,2025-08-19 12:36:41.577471
Bike,11.93,Afternoon,Weekday,Very High,Moderate,Rainy,Residential,91.58,1.43,125.13,2025-11-20 05:04:41.577641
Taxi,4.03,Night,Weekend,Medium,Heavy,Clear,Commercial,98.36,1.3,127.66,2025-08-08 10:03:41.577817
Taxi,12.32,Night,Weekday,High,Moderate,Cloudy,Commercial,197.84,1.35,280.11,2025-08-29 08:37:41.577985
Taxi,43.97,Morning,Weekday,High,Moderate,Rainy,Commercial,577.64,1.28,723.31,2025-09-18 05:07:41.578239
Taxi,39.93,Early Morning,Weekday,Medium,Moderate,Rainy,IT Park,529.16,1.08,598.78,2025-10-21 13:21:41.578433
Taxi,37.39,Evening,Weekday,Medium,Heavy,Clear,IT Park,498.68,1.2,622.27,2026-01-09 01:06:41.578618
Taxi,9.32,Evening,Weekday,Low,Light,Clear,Commercial,161.84,1.1,178.74,2025-08-30 13:31:41.578794
Taxi,1.96,Night,Weekend,High,Light,Cloudy,Airport,73.52,1.5,108.62,2026-01-01 03:34:41.578968
Taxi,35.25,Night,Weekday,Very High,Moderate,Storm,Metro Station,473.0,1.65,770.2,2025-12-08 16:52:41.579137
Taxi,48.7,Evening,Weekday,Medium,Heavy,Clear,Residential,634.4,1.2,736.02,2025-11-29 05:35:41.579343
Taxi,41.95,Evening,Weekend,Very High,Heavy,Clear,IT Park,553.4,1.6,867.4,2026-01-28 12:22:41.579541
Taxi,46.76,Morning,Weekday,High,Heavy,Cloudy,Residential,611.12,1.3,808.22,2025-09-07 18:52:41.579715
Taxi,3.69,Afternoon,Weekday,Low,Moderate,Storm,Metro Station,94.28,1.15,106.57,2026-01-23 07:34:41.579894
Bike,29.77,Morning,Weekend,Medium,Heavy,Clear,Commercial,198.62,1.15,220.17,2025-11-26 23:15:41.580063
Bike,33.68,Night,Weekday,Medium,Moderate,Cloudy,IT Park,222.08,1.15,250.56,2025-12-17 01:26:41.580229
Bike,37.88,Early Morning,Weekday,Low,Moderate,Clear,IT Park,247.28,1.0,241.78,2025-12-19 21:45:41.580433
Bike,37.32,Afternoon,Weekday,Low,Light,Clear,Metro Station,243.92,1.0,242.66,2026-01-31 04:02:41.580639
Taxi,40.09,Night,Weekday,Very High,Light,Cloudy,Metro Station,531.08,1.5,788.09,2025-12-13 07:26:41.580817
Bike,11.32,Morning,Weekday,Medium,Heavy,Storm,Residential,87.92,1.25,105.16,2025-11-27 16:44:41.580990
Taxi,28.33,Afternoon,Weekday,Low,Moderate,Cloudy,Residential,389.96,1.0,403.33,2025-08-11 18:07:41.581163
Taxi,9.84,Evening,Weekday,Low,Light,Clear,Airport,168.08,1.2,197.07,2026-01-13 05:56:41.581329
Bike,49.24,Early Morning,Weekday,High,Heavy,Clear,Metro Station,315.44,1.3,400.1,2025-11-16 20:27:41.581538
Taxi,13.28,Early Morning,Weekend,Medium,Moderate,Storm,Metro Station,209.36,1.2,249.26,2025-10-19 07:59:41.581743
Bike,20.41,Early Morning,Weekend,Medium,Light,Clear,Airport,142.46,1.15,159.85,2025-12-09 07:39:41.581917
Bike,27.6,Night,Weekend,Very High,Light,Clear,Residential,185.6,1.55,281.46,2025-12-09 21:41:41.582099
Bike,16.59,Early Morning,Weekday,High,Moderate,Cloudy,Commercial,119.54,1.2,138.92,2025-09-11 17:20:41.582268
Bike,30.44,Evening,Weekday,Medium,Light,Rainy,Airport,202.64,1.28,249.2,2026-01-24 03:44:41.582434
Taxi,5.05,Morning,Weekday,Low,Light,Clear,Airport,110.6,1.1,125.46,2025-08-31 14:33:41.582635
Taxi,8.42,Morning,Weekend,Medium,Heavy,Cloudy,Commercial,151.04,1.15,172.88,2025-12-31 06:36:41.582835
Taxi,22.52,Afternoon,Weekday,High,Moderate,Clear,Commercial,320.24,1.2,369.23,2025-12-03 11:23:41.583006
Taxi,30.94,Evening,Weekday,High,Light,Rainy,Metro Station,421.28,1.38,587.83,2025-11-18 08:10:41.583178
Bike,49.35,Evening,Weekend,Medium,Moderate,Clear,Airport,316.1,1.25,395.18,2025-08-25 04:06:41.583346
Bike,25.06,Night,Weekday,Low,Heavy,Clear,Commercial,170.36,1.25,212.55,2025-10-08 06:10:41.583513
Bike,27.96,Evening,Weekday,Very High,Moderate,Cloudy,Residential,187.76,1.45,259.35,2025-12-10 02:36:41.583716
Taxi,31.04,Night,Weekday,Very High,Heavy,Clear,IT Park,422.48,1.6,687.44,2026-01-17 06:35:41.583909
Taxi,8.94,Early Morning,Weekday,Medium,Moderate,Clear,Commercial,157.28,1.0,159.57,2026-01-30 23:32:41.584080
Taxi,39.13,Night,Weekday,High,Heavy,Clear,Metro Station,519.56,1.45,753.52,2026-01-10 04:49:41.584248
Taxi,7.37,Night,Weekday,Medium,Light,Clear,IT Park,138.44,1.15,157.37,2025-10-07 23:30:41.584417
Bike,10.78,Night,Weekend,Medium,Light,Clear,Metro Station,84.68,1.2,106.48,2025-11-03 13:52:41.584590
Taxi,48.04,Night,Weekday,Medium,Moderate,Clear,Residential,626.48,1.15,689.2,2025-10-23 00:23:41.584798
Taxi,36.07,Night,Weekend,High,Moderate,Clear,Residential,482.84,1.4,659.52,2025-08-14 07:41:41.585012
Taxi,20.03,Evening,Weekend,Medium,Moderate,Clear,Airport,290.36,1.25,346.58,2025-08-12 15:42:41.585179
Bike,24.68,Morning,Weekday,Low,Moderate,Clear,Airport,168.08,1.1,193.64,2025-10-15 11:14:41.585347
Bike,4.66,Early Morning,Weekday,Medium,Light,Cloudy,Residential,47.96,1.0,48.3,2025-08-23 04:22:41.585518
Taxi,32.73,Morning,Weekend,Low,Light,Cloudy,Commercial,442.76,1.05,443.82,2026-01-21 14:29:41.585693
Taxi,47.93,Evening,Weekday,Very High,Heavy,Cloudy,IT Park,625.16,1.55,932.15,2025-08-07 15:58:41.585893
Taxi,7.89,Night,Weekend,Medium,Light,Clear,Airport,144.68,1.3,194.95,2026-01-15 00:52:41.586099
Taxi,40.35,Afternoon,Weekend,High,Heavy,Rainy,Commercial,534.2,1.43,739.34,2025-10-05 04:03:41.586267
Bike,9.44,Evening,Weekday,Very High,Light,Clear,Airport,76.64,1.55,122.3,2025-11-01 02:49:41.586441
Bike,37.78,Morning,Weekday,Medium,Heavy,Clear,Commercial,246.68,1.1,284.6,2025-08-20 22:27:41.586615
Taxi,17.14,Morning,Weekday,Medium,Heavy,Clear,IT Park,255.68,1.1,285.72,2025-12-20 11:54:41.586782
Taxi,38.89,Night,Weekday,High,Moderate,Clear,Metro Station,516.68,1.35,684.73,2025-12-04 13:41:41.586984
Bike,45.18,Early Morning,Weekday,Medium,Moderate,Clear,Metro Station,291.08,1.0,295.83,2026-01-09 01:35:41.587167
Taxi,46.62,Afternoon,Weekday,Medium,Moderate,Clear,Metro Station,609.44,1.0,619.92,2025-10-24 06:02:41.587335
Bike,48.52,Night,Weekday,Very High,Light,Rainy,Commercial,311.12,1.58,480.18,2026-02-03 13:57:41.587508
Taxi,25.41,Evening,Weekday,Medium,Moderate,Rainy,Commercial,354.92,1.18,413.84,2025-10-20 16:08:41.587681
Taxi,44.51,Early Morning,Weekend,Very High,Moderate,Cloudy,Metro Station,584.12,1.4,822.26,2026-01-13 23:19:41.587847
Taxi,5.75,Night,Weekday,Low,Light,Clear,Metro Station,119.0,1.15,140.64,2025-12-07 23:34:41.588048
Taxi,3.37,Morning,Weekday,Low,Light,Clear,Metro Station,90.44,1.0,88.84,2026-01-29 23:31:41.588231
Bike,47.81,Afternoon,Weekday,Medium,Heavy,Clear,Metro Station,306.86,1.1,344.15,2026-01-19 04:26:41.588399
Taxi,21.19,Early Morning,Weekday,Low,Light,Cloudy,Airport,304.28,1.1,331.48,2025-11-14 14:57:41.588572
Taxi,24.09,Morning,Weekday,Medium,Heavy,Clear,Metro Station,339.08,1.1,371.93,2025-10-12 19:47:41.588739
Taxi,30.41,Night,Weekday,Medium,Moderate,Rainy,IT Park,414.92,1.23,510.35,2025-12-23 15:44:41.588907
Taxi,46.31,Morning,Weekday,Medium,Light,Cloudy,Metro Station,605.72,1.0,615.98,2025-08-24 19:59:41.589094
Taxi,32.36,Evening,Weekend,Medium,Light,Clear,Airport,438.32,1.25,555.27,2025-09-03 05:45:41.589291
Taxi,26.54,Night,Weekday,Very High,Moderate,Clear,IT Park,368.48,1.5,526.53,2025-08-20 19:04:41.589476
Bike,27.03,Morning,Weekday,Low,Moderate,Clear,Commercial,182.18,1.0,187.71,2025-11-23 09:22:41.589647
Taxi,27.42,Afternoon,Weekend,Medium,Heavy,Cloudy,Commercial,379.04,1.15,431.0,2025-11-29 03:08:41.589820
Taxi,19.84,Morning,Weekend,Very High,Heavy,Cloudy,Commercial,288.08,1.5,412.48,2025-11-22 05:52:41.589993
Bike,28.6,Afternoon,Weekend,High,Moderate,Clear,Commercial,191.6,1.25,242.19,2025-09-05 23:46:41.590253
Taxi,32.49,Night,Weekday,Low,Light,Clear,Airport,439.88,1.25,550.67,2025-12-01 19:01:41.590440
Bike,19.67,Evening,Weekday,Medium,Light,Clear,Residential,138.02,1.1,152.11,2025-12-05 23:07:41.590613
Taxi,13.8,Afternoon,Weekday,Medium,Light,Clear,Commercial,215.6,1.0,215.77,2025-11-02 20:42:41.590781
Bike,25.93,Early Morning,Weekend,Low,Moderate,Clear,Airport,175.58,1.15,204.81,2025-11-04 21:27:41.590949
Bike,48.35,Night,Weekday,High,Moderate,Cloudy,Airport,310.1,1.45,435.26,2025-09-27 15:30:41.591116
Bike,24.94,Early Morning,Weekday,High,Moderate,Clear,Commercial,169.64,1.2,201.05,2025-12-16 06:04:41.591318
Bike,45.97,Afternoon,Weekend,Low,Moderate,Clear,Airport,295.82,1.15,350.51,2025-10-05 09:07:41.591497
Taxi,26.96,Morning,Weekday,Medium,Moderate,Rainy,Metro Station,373.52,1.08,385.34,2026-01-11 15:34:41.591665
Bike,35.32,Morning,Weekday,High,Heavy,Clear,Commercial,231.92,1.3,301.67,2025-08-08 22:36:41.591832
Taxi,21.81,Morning,Weekday,Low,Light,Clear,Airport,311.72,1.1,339.07,2025-12-25 17:42:41.592002
Taxi,28.24,Night,Weekend,Very High,Moderate,Rainy,Airport,388.88,1.73,665.49,2025-08-29 09:02:41.592178
Taxi,1.16,Evening,Weekend,Very High,Light,Rainy,Residential,63.92,1.58,97.4,2025-09-20 16:18:41.592382
Taxi,31.94,Morning,Weekday,Low,Light,Clear,Airport,433.28,1.1,483.8,2025-12-08 12:29:41.592556
Taxi,1.63,Evening,Weekend,High,Moderate,Storm,Commercial,69.56,1.5,105.0,2026-01-17 22:26:41.592723
Taxi,30.97,Night,Weekday,Medium,Light,Rainy,Metro Station,421.64,1.23,498.33,2025-10-27 09:32:41.592887
Taxi,40.0,Night,Weekday,High,Light,Clear,IT Park,530.0,1.35,699.34,2025-12-09 12:39:41.593052
Bike,47.27,Night,Weekday,Medium,Moderate,Storm,IT Park,303.62,1.3,398.52,2025-12-17 21:33:41.593224
Bike,22.28,Afternoon,Weekend,High,Moderate,Clear,Commercial,153.68,1.25,193.1,2025-11-17 12:40:41.593410
Taxi,13.5,Morning,Weekday,Medium,Moderate,Rainy,Metro Station,212.0,1.08,224.53,2025-11-12 17:58:41.593597
Taxi,48.18,Night,Weekday,Medium,Light,Rainy,IT Park,628.16,1.23,789.56,2025-12-12 07:58:41.593766
Taxi,22.04,Early Morning,Weekday,Medium,Moderate,Clear,Metro Station,314.48,1.0,329.52,2025-09-07 23:07:41.593934
Taxi,33.9,Night,Weekend,Medium,Moderate,Cloudy,Airport,456.8,1.3,580.64,2025-08-22 03:33:41.594114
Taxi,10.12,Night,Weekend,Very High,Moderate,Clear,Airport,171.44,1.65,293.54,2025-10-21 05:44:41.594292
Taxi,29.03,Afternoon,Weekday,Low,Moderate,Cloudy,Metro Station,398.36,1.0,380.07,2026-01-22 12:24:41.594457
Taxi,44.92,Evening,Weekend,Medium,Light,Clear,Metro Station,589.04,1.15,664.93,2025-08-12 09:46:41.594659
Bike,41.64,Afternoon,Weekday,High,Moderate,Rainy,IT Park,269.84,1.28,358.08,2025-12-15 01:41:41.594831
Taxi,33.13,Night,Weekday,Low,Heavy,Cloudy,Commercial,447.56,1.25,565.0,2025-11-14 12:21:41.594997
Taxi,8.17,Early Morning,Weekday,Low,Light,Clear,Metro Station,148.04,1.0,140.65,2025-12-04 15:07:41.595172
Taxi,14.51,Evening,Weekday,High,Moderate,Clear,Metro Station,224.12,1.3,299.81,2025-10-17 11:49:41.595341
Taxi,11.96,Morning,Weekend,Very High,Moderate,Rainy,Airport,193.52,1.58,314.48,2025-12-13 23:08:41.595509
Taxi,31.53,Afternoon,Weekend,Medium,Light,Clear,Metro Station,428.36,1.05,440.53,2025-08-30 01:21:41.595724
Bike,3.29,Night,Weekday,Low,Heavy,Clear,Commercial,39.74,1.25,49.1,2025-08-29 12:19:41.595894
Taxi,43.4,Morning,Weekday,High,Heavy,Rainy,Airport,570.8,1.48,805.71,2025-10-16 16:35:41.597610
Taxi,14.73,Afternoon,Weekday,High,Light,Cloudy,Airport,226.76,1.3,297.94,2025-08-26 04:50:41.597859
Bike,12.87,Night,Weekday,High,Heavy,Storm,Airport,97.22,1.7,157.86,2026-01-30 01:13:41.598068
Bike,2.39,Night,Weekday,Medium,Light,Clear,Airport,34.34,1.25,43.36,2025-12-19 10:14:41.598245
Bike,32.77,Morning,Weekend,High,Heavy,Clear,Commercial,216.62,1.35,291.27,2025-09-22 04:08:41.598415
Taxi,28.89,Morning,Weekday,Medium,Heavy,Clear,IT Park,396.68,1.1,440.72,2026-01-19 11:02:41.598584
Bike,37.28,Evening,Weekday,High,Moderate,Clear,Metro Station,243.68,1.3,324.86,2025-10-16 17:07:41.598760
Taxi,29.77,Afternoon,Weekend,Medium,Heavy,Clear,IT Park,407.24,1.15,491.05,2025-10-06 16:31:41.598960
Taxi,6.58,Evening,Weekday,High,Moderate,Cloudy,Metro Station,128.96,1.3,167.37,2025-09-15 11:24:41.599133
Taxi,45.39,Afternoon,Weekend,High,Light,Clear,Residential,594.68,1.25,717.63,2025-11-09 02:47:41.599299
Taxi,39.44,Afternoon,Weekday,Medium,Light,Clear,Residential,523.28,1.0,544.71,2025-09-25 08:15:41.599471
Taxi,28.63,Night,Weekday,Medium,Moderate,Clear,Airport,393.56,1.25,509.35,2025-12-04 03:17:41.599646
Taxi,25.49,Night,Weekday,Very High,Moderate,Cloudy,Commercial,355.88,1.5,521.54,2025-12-06 18:01:41.599822
Bike,6.79,Early Morning,Weekday,Medium,Moderate,Clear,Airport,60.74,1.1,67.71,2026-01-01 14:21:41.600023
Bike,31.78,Morning,Weekday,Low,Moderate,Clear,Metro Station,210.68,1.0,209.16,2025-09-27 03:40:41.600199
Bike,47.64,Afternoon,Weekday,High,Moderate,Clear,Commercial,305.84,1.2,356.86,2025-12-10 21:19:41.600369
Taxi,13.14,Morning,Weekday,Medium,Moderate,Clear,Commercial,207.68,1.0,204.61,2025-09-07 08:13:41.600548
Bike,6.11,Evening,Weekend,Very High,Heavy,Clear,Airport,56.66,1.7,93.17,2025-09-01 06:33:41.600721
Taxi,46.31,Night,Weekday,High,Moderate,Clear,Metro Station,605.72,1.35,827.05,2025-08-09 10:35:41.600890
Bike,10.81,Early Morning,Weekday,High,Heavy,Clear,IT Park,84.86,1.3,109.32,2025-12-21 02:14:41.601113
Taxi,9.87,Early Morning,Weekday,Medium,Heavy,Clear,IT Park,168.44,1.1,183.82,2025-12-10 05:22:41.601286
Bike,44.17,Evening,Weekday,Low,Light,Rainy,Commercial,285.02,1.18,321.97,2026-01-20 12:52:41.601452
Taxi,32.75,Afternoon,Weekday,Medium,Moderate,Clear,Airport,443.0,1.1,481.68,2025-09-01 15:12:41.601631
Bike,28.34,Night,Weekday,Very High,Moderate,Clear,Commercial,190.04,1.5,278.25,2025-08-12 00:54:41.601798
Bike,30.67,Early Morning,Weekday,Medium,Heavy,Clear,IT Park,204.02,1.1,213.98,2025-11-18 01:08:41.601965
Taxi,11.44,Evening,Weekday,High,Light,Rainy,Metro Station,187.28,1.38,252.56,2025-09-17 20:03:41.602234
Taxi,27.62,Morning,Weekday,Medium,Moderate,Cloudy,Metro Station,381.44,1.0,388.81,2025-08-10 12:00:41.602409
Bike,11.18,Evening,Weekday,Medium,Heavy,Cloudy,Residential,87.08,1.2,108.7,2026-01-14 10:31:41.602589
Taxi,36.16,Afternoon,Weekend,High,Moderate,Rainy,IT Park,483.92,1.33,633.67,2026-01-26 14:14:41.602759
Bike,12.36,Morning,Weekday,Medium,Moderate,Rainy,Commercial,94.16,1.08,105.91,2025-09-05 00:32:41.602926
Taxi,42.93,Afternoon,Weekday,Low,Light,Cloudy,Airport,565.16,1.1,648.9,2025-11-25 03:30:41.603094
Taxi,28.4,Afternoon,Weekday,Low,Moderate,Clear,Airport,390.8,1.1,425.64,2025-12-20 01:58:41.603341
Taxi,9.2,Morning,Weekday,Medium,Light,Cloudy,Airport,160.4,1.1,177.63,2025-10-14 19:25:41.603560
Taxi,22.18,Early Morning,Weekend,Medium,Heavy,Clear,Residential,316.16,1.15,366.82,2025-08-15 15:06:41.603737
Bike,10.35,Morning,Weekend,Medium,Light,Clear,IT Park,82.1,1.05,89.07,2025-12-18 00:39:41.603905
Taxi,43.69,Evening,Weekday,Medium,Light,Clear,Residential,574.28,1.1,659.25,2025-10-24 11:11:41.604072
Taxi,41.85,Evening,Weekday,High,Moderate,Cloudy,Airport,552.2,1.4,753.05,2025-10-11 05:44:41.604240
Taxi,31.12,Morning,Weekday,Medium,Light,Cloudy,Metro Station,423.44,1.0,434.76,2025-08-20 18:12:41.604439
Taxi,6.42,Afternoon,Weekend,Low,Moderate,Clear,Metro Station,127.04,1.05,139.39,2025-10-04 08:04:41.604618
Bike,6.17,Night,Weekday,High,Moderate,Cloudy,IT Park,57.02,1.35,80.6,2026-01-21 05:02:41.604784
Bike,18.58,Early Morning,Weekday,Medium,Light,Cloudy,Metro Station,131.48,1.0,136.19,2026-01-12 19:17:41.604952
Taxi,1.39,Night,Weekday,Medium,Heavy,Clear,IT Park,66.68,1.25,84.11,2025-09-25 19:44:41.605120
Bike,37.11,Morning,Weekend,Medium,Light,Clear,Metro Station,242.66,1.05,253.13,2025-08-24 08:36:41.605294
Bike,2.0,Night,Weekday,High,Moderate,Rainy,Residential,32.0,1.43,45.09,2025-09-22 21:51:41.605496
Taxi,46.13,Afternoon,Weekday,Medium,Heavy,Cloudy,Metro Station,603.56,1.1,648.45,2025-10-09 09:41:41.605732
Bike,16.36,Evening,Weekday,Medium,Moderate,Clear,Airport,118.16,1.2,148.38,2025-11-09 14:12:41.605960
Taxi,37.99,Morning,Weekend,Medium,Moderate,Cloudy,Airport,505.88,1.15,572.69,2025-08-17 01:49:41.618230
Taxi,49.39,Evening,Weekend,Medium,Heavy,Clear,IT Park,642.68,1.25,812.56,2025-12-18 22:08:41.618438
Bike,39.19,Night,Weekday,Low,Light,Rainy,Airport,255.14,1.33,352.73,2025-08-13 02:31:41.618620
Taxi,8.6,Evening,Weekday,High,Heavy,Cloudy,IT Park,153.2,1.4,205.2,2025-08-30 02:17:41.618788
Bike,15.75,Morning,Weekday,Low,Heavy,Cloudy,Commercial,114.5,1.1,123.08,2025-10-01 05:14:41.618959
Bike,38.74,Afternoon,Weekday,Medium,Light,Cloudy,Metro Station,252.44,1.0,252.98,2025-12-30 01:54:41.619128
Taxi,22.59,Afternoon,Weekday,Medium,Light,Clear,Airport,321.08,1.1,348.05,2025-12-21 19:22:41.619305
Bike,45.16,Early Morning,Weekend,Medium,Moderate,Storm,Metro Station,290.96,1.2,346.82,2025-12-30 00:14:41.619510
Taxi,14.52,Evening,Weekday,High,Moderate,Rainy,Commercial,224.24,1.38,315.68,2025-09-11 15:53:41.619690
Taxi,17.03,Early Morning,Weekend,Low,Moderate,Clear,Residential,254.36,1.05,279.03,2026-01-22 15:29:41.619859
Bike,41.97,Morning,Weekend,Medium,Moderate,Cloudy,Metro Station,271.82,1.05,280.4,2025-08-19 19:12:41.620027
